@SampleID:marmg_toy
@Version:0.0.0
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
2157	superkingdom	2157	Archaea	16.8485
2	superkingdom	2	Bacteria	83.1516
1224	phylum	2|1224	Bacteria|Proteobacteria	79.3409
201174	phylum	2|201174	Bacteria|Actinobacteria	2.30722
1297	phylum	2|1297	Bacteria|Deinococcus-Thermus	1.50348
28889	phylum	2157|28889	Archaea|Crenarchaeota	11.1325
28890	phylum	2157|28890	Archaea|Euryarchaeota	5.71605
183924	class	2157|28889|183924	Archaea|Crenarchaeota|Thermoprotei	11.1325
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	5.41641
188787	class	2|1297|188787	Bacteria|Deinococcus-Thermus|Deinococci	1.50348
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	8.23125
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	65.6932
84992	class	2|201174|84992	Bacteria|Actinobacteria|Acidimicrobiia	2.30722
183968	class	2157|28890|183968	Archaea|Euryarchaeota|Thermococci	5.71605
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	2.30722
84993	order	2|201174|84992|84993	Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales	2.30722
135623	order	2|1224|1236|135623	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales	8.92571
135622	order	2|1224|1236|135622	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales	5.57505
114380	order	2157|28889|183924|114380	Archaea|Crenarchaeota|Thermoprotei|Desulfurococcales	11.1325
204441	order	2|1224|28211|204441	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	6.0245
135619	order	2|1224|1236|135619	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales	3.25372
135613	order	2|1224|1236|135613	Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales	45.6315
204457	order	2|1224|28211|204457	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	2.20675
68933	order	2|1297|188787|68933	Bacteria|Deinococcus-Thermus|Deinococci|Thermales	1.50348
2258	order	2157|28890|183968|2258	Archaea|Euryarchaeota|Thermococci|Thermococcales	5.71605
84994	family	2|201174|84992|84993|84994	Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae	2.30722
2259	family	2157|28890|183968|2258|2259	Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae	5.71605
72276	family	2|1224|1236|135613|72276	Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae	20.8108
72275	family	2|1224|1236|135622|72275	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae	5.57505
135620	family	2|1224|1236|135619|135620	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae	3.25372
2307	family	2157|28889|183924|114380|2307	Archaea|Crenarchaeota|Thermoprotei|Desulfurococcales|Pyrodictiaceae	11.1325
641	family	2|1224|1236|135623|641	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae	8.92571
188786	family	2|1297|188787|68933|188786	Bacteria|Deinococcus-Thermus|Deinococci|Thermales|Thermaceae	1.50348
41295	family	2|1224|28211|204441|41295	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae	6.0245
468	family	2|1224|1236|72274|468	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae	2.30722
335929	family	2|1224|28211|204457|335929	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae	2.20675
1046	family	2|1224|1236|135613|1046	Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae	24.8207
662	genus	2|1224|1236|135623|641|662	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio	4.56332
497	genus	2|1224|1236|72274|468|497	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Psychrobacter	2.30722
682522	genus	2|201174|84992|84993|84994|682522	Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae|Ilumatobacter	2.30722
1335745	genus	2|1224|1236|135613|72276|1335745	Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales|Ectothiorhodospiraceae|Spiribacter	20.8108
1227	genus	2|1224|1236|135613|1046|1227	Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Nitrosococcus	23.2167
28253	genus	2|1224|1236|135619|135620|28253	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Marinomonas	1.65506
83867	genus	2157|28890|183968|2258|2259|83867	Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Palaeococcus	5.71605
226	genus	2|1224|1236|135622|72275|226	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas	5.57505
156885	genus	2|1224|1236|135613|1046|156885	Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales|Chromatiaceae|Thioflavicoccus	1.60395
187492	genus	2|1224|1236|135619|135620|187492	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Thalassolituus	1.59866
511678	genus	2|1224|1236|135623|641|511678	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Aliivibrio	4.36239
265570	genus	2|1224|29547|||265570	Bacteria|Proteobacteria|Epsilonproteobacteria|||Sulfurovum	5.41641
