taxid	species	assembly_accession	assembly_level	refseq_category
971279	Palaeococcus pacificus	GCF_000725425.1	Complete Genome	reference genome
28108	Alteromonas macleodii	GCF_050500325.1	Complete Genome	reference genome
314275	Alteromonas mediterranea	GCF_001886435.1	Complete Genome	na
186192	Marinithermus hydrothermalis	GCF_000195335.1	Complete Genome	reference genome
39960	Erythrobacter litoralis	GCF_001719165.1	Complete Genome	reference genome
936476	Marinomonas posidonica	GCF_000214215.1	Complete Genome	reference genome
1229	Nitrosococcus oceani	GCF_000012805.1	Complete Genome	reference genome
1335757	Spiribacter curvatus	GCF_000485905.1	Complete Genome	reference genome
54248	Hyperthermus butylicus	GCF_000015145.1	Complete Genome	reference genome
1263979	Candidatus Endolissoclinum faulkneri	GCF_000319385.1	Complete Genome	reference genome
133539	Nitrosococcus halophilus	GCF_000024725.1	Complete Genome	reference genome
1335746	Spiribacter salinus	GCF_000319575.2	Complete Genome	reference genome
80852	Aliivibrio wodanis	GCF_052920805.1	Contig	reference genome
40269	Aliivibrio salmonicida	GCF_000196495.1	Complete Genome	reference genome
80679	Thioflavicoccus mobilis	GCF_000327045.1	Complete Genome	reference genome
55601	Vibrio anguillarum	GCF_049315005.1	Complete Genome	na
187493	Thalassolituus oleivorans	GCF_000355675.1	Complete Genome	reference genome
467094	Ilumatobacter coccineus	GCF_000348785.1	Complete Genome	reference genome
1298608	Psychrobacter sp. JCM 18900	GCF_055395025.1	Complete Genome	na
387093	Sulfurovum sp. NBC37-1	GCF_000010345.1	Complete Genome	na
