taxid	taxon	novelty_level	accession	organism
971279	Palaeococcus pacificus	genus	GCF_000725425.1	Palaeococcus pacificus
28108	Alteromonas macleodii	species	GCF_050500325.1	Alteromonas macleodii
314275	Alteromonas mediterranea	species	GCF_001886435.1	Alteromonas mediterranea
186192	Marinithermus hydrothermalis	kingdom	GCF_000195335.1	Marinithermus hydrothermalis
39960	Erythrobacter litoralis	species	GCF_001719165.1	Erythrobacter litoralis
936476	Marinomonas posidonica	species	GCF_000214215.1	Marinomonas posidonica
1229	Nitrosococcus oceani	species	GCF_000012805.1	Nitrosococcus oceani
1335757	Spiribacter curvatus	genus	GCF_000485905.1	Spiribacter curvatus
54248	Hyperthermus butylicus	kingdom	GCF_000015145.1	Hyperthermus butylicus
1263979	Candidatus Endolissoclinum faulkneri	genus	GCF_000319385.1	Candidatus Endolissoclinum faulkneri
133539	Nitrosococcus halophilus	genus	GCF_000024725.1	Nitrosococcus halophilus
1335746	Spiribacter salinus	species	GCF_000319575.2	Spiribacter salinus
80852	Aliivibrio wodanis	species	GCF_052920805.1	Aliivibrio wodanis
40269	Aliivibrio salmonicida	species	GCF_000196495.1	Aliivibrio salmonicida
80679	Thioflavicoccus mobilis	family	GCF_000327045.1	Thioflavicoccus mobilis
55601	Vibrio anguillarum	species	GCF_049315005.1	Vibrio anguillarum
187493	Thalassolituus oleivorans	species	GCF_000355675.1	Thalassolituus oleivorans
467094	Ilumatobacter coccineus	species	GCF_000348785.1	Ilumatobacter coccineus
1298608	Psychrobacter sp. JCM 18900	genus	GCF_055395025.1	Psychrobacter sp. JCM 18900
387093	Sulfurovum sp. NBC37-1	genus	GCF_000010345.1	Sulfurovum sp. NBC37-1
