taxid	taxpath
1229	131567|2|3379134|1224|1236|135613|1046|1227|1229
28108	131567|2|3379134|1224|1236|135622|72275|2903219|226|28108
39960	131567|2|3379134|1224|28211|204457|335929|2800788|1041|39960
40269	131567|2|3379134|1224|1236|135623|641|511678|40269
55601	131567|2|3379134|1224|1236|135623|641|662|55601
80852	131567|2|3379134|1224|1236|135623|641|511678|80852
83332	131567|2|1783272|201174|1760|85007|1762|1763|77643|1773|83332
83868	131567|2157|3366610|28890|183968|2258|2259|83867|83868
93061	131567|2|1783272|1239|91061|1385|90964|1279|1280|93061
119864	131567|2|3379134|1224|1236|135619|135620|28253|119864
160490	131567|2|1783272|1239|91061|186826|1300|1301|1314|301447|160490
187493	131567|2|3379134|1224|1236|135619|135620|187492|187493
224308	131567|2|1783272|1239|91061|1385|186817|1386|653685|1423|135461|224308
233316	131567|2|3379134|1224|1236|135622|72275|2903219|226|233316
243275	131567|2|3379134|203691|203692|3120456|2845253|157|158|243275
273068	131567|2|1783272|1239|186801|68295|186814|249529|911092|119072|273068
314275	131567|2|3379134|1224|1236|135622|72275|2903219|226|314275
330922	131567|2|3379134|1224|1236|2887326|468|497|330922
435590	131567|2|3379134|1783270|68336|976|200643|171549|815|909656|821|435590
467094	131567|2|1783272|201174|84992|84993|2448023|682522|467094
473531	131567|2|3379134|1224|1236|135613|1046|1227|473531
936476	131567|2|3379134|1224|1236|135619|135620|28253|936476
1122209	131567|2|3379134|1224|1236|135619|135620|64968|148454|1122209
1335746	131567|2|3379134|1224|1236|135613|72276|1335745|1335746
1814290	131567|2|3379134|1224|1236|135613|1046|1227|1814290
1855875	131567|2|3379134|1224|1236|135613|72276|1335745|1855875
1967498	131567|2|1783272|201174|84992|84993|2448023|682522|2629258|1967498
2760055	131567|2|3379134|1224|28211|204441|41295|1263978|2633389|2760055
2893889	131567|2|3379134|29547|3031852|213849|2771472|265570|2893889
2909249	131567|2|3379134|1224|28211|204457|335929|2800788|1041|2909249
