# software: krepp	version: v0.8.3	invocation :/Users/asapci/Desktop/krepp/software-repository/krepp dist -i data/toy-index -q data/query_mixture.fq.gz --num-threads 4 --summarize -o results/distances_summary.tsv
REFERENCE_NAME	WEIGHTED_COUNT	SEQUENCE_ABUNDANCE
Alteromonas_mediterranea	3129.79686	0.06055
Nitrosococcus_oceani	6606.76386	0.12782
Spiribacter_roseus	6890.63616	0.13331
Moorella_thermoacetica	20.82979	0.00040
Thermus_thermophilus	17.32136	0.00034
Spiribacter_salinus	5273.02897	0.10202
Pyrodictium_occultum	21.49657	0.00042
Marinomonas_mediterranea	169.35874	0.00328
Candidatus_Endolissoclinum_sp	485.55314	0.00939
Marinomonas_posidonica	1009.64644	0.01953
Ilumatobacter_coccineus	61.95020	0.00120
Nitrosococcus_watsonii	941.42259	0.01821
Aliivibrio_salmonicida	2293.06704	0.04436
Palaeococcus_ferrophilus	729.99722	0.01412
Staphylococcus_aureus	42.30890	0.00082
Ilumatobacter_sp	715.29903	0.01384
Fusobacterium_nucleatum	27.32269	0.00053
Alteromonas_macleodii	1848.40638	0.03576
Thalassolituus_oleivorans	1498.66141	0.02899
Erythrobacter_litoralis	419.53501	0.00812
Sulfurovum_mangrovi	614.71082	0.01189
Mycobacterium_tuberculosis	141.83979	0.00274
Psychrobacter_cryohalolentis	837.45194	0.01620
Alteromonas_stellipolaris	116.04249	0.00225
Erythrobacter_aurantius	566.40355	0.01096
Aliivibrio_wodanis	1769.30633	0.03423
Vibrio_anguillarum	3980.24074	0.07701
Bacteroides_fragilis	29.18200	0.00056
Bacillus_subtilis	39.67890	0.00077
Allochromatium_vinosum	154.77956	0.00299
Nitrosococcus_wardiae	11235.96153	0.21738
