# software: krepp	version: v0.8.3	invocation :krepp place -i data/toy-index -q data/query_mixture.fq.gz -l data/reference_taxonomy_lineages.tsv -o results/taxplacements_summarized.tsv --summarize
# ((((((((Palaeococcus_ferrophilus{0})Palaeococcus ferrophilus{1})Palaeococcus{2})Thermococcaceae{3})Thermococcales{4})Thermococci{5})Euryarchaeota{6},((((Pyrodictium_occultum{7})Pyrodictium occultum{8})Pyrodictium{9})Thermoprotei{10})Crenarchaeota{11})Archaea{12},(((((((Aliivibrio_salmonicida{13})Aliivibrio salmonicida{14},(Aliivibrio_wodanis{15})Aliivibrio wodanis{16})Aliivibrio{17},((Vibrio_anguillarum{18})Vibrio anguillarum{19})Vibrio{20})Vibrionaceae{21})Vibrionales{22},((Allochromatium_vinosum{23})Allochromatium vinosum{24})Allochromatium{25},((((Alteromonas_macleodii{26})Alteromonas macleodii{27},(Alteromonas_mediterranea{28})Alteromonas mediterranea{29},(Alteromonas_stellipolaris{30})Alteromonas stellipolaris{31})Alteromonas{32})Alteromonadaceae{33})Alteromonadales{34},((((Marinomonas_mediterranea{35})Marinomonas mediterranea{36},(Marinomonas_posidonica{37})Marinomonas posidonica{38})Marinomonas{39},((Thalassolituus_oleivorans{40})Thalassolituus oleivorans{41})Thalassolituus{42})Oceanospirillaceae{43})Oceanospirillales{44},((((Nitrosococcus_oceani{45})Nitrosococcus oceani{46},(Nitrosococcus_wardiae{47})Nitrosococcus wardiae{48},(Nitrosococcus_watsonii{49})Nitrosococcus watsonii{50})Nitrosococcus{51})Chromatiaceae{52},(((Spiribacter_roseus{53})Spiribacter roseus{54},(Spiribacter_salinus{55})Spiribacter salinus{56})Spiribacter{57})Ectothiorhodospiraceae{58})Chromatiales{59},((((Psychrobacter_cryohalolentis{60})Psychrobacter cryohalolentis{61})Psychrobacter{62})Moraxellaceae{63})Pseudomonadales{64})Gammaproteobacteria{65},(((((Candidatus_Endolissoclinum_sp{66})Candidatus Endolissoclinum sp.{67})Candidatus Endolissoclinum{68})Rhodospirillaceae{69})Rhodospirillales{70},((((Erythrobacter_aurantius{71})Erythrobacter aurantius{72},(Erythrobacter_litoralis{73})Erythrobacter litoralis{74})Erythrobacter{75})Erythrobacteraceae{76})Sphingomonadales{77})Alphaproteobacteria{78},(((Sulfurovum_mangrovi{79})Sulfurovum mangrovi{80})Sulfurovum{81})Epsilonproteobacteria{82})Proteobacteria{83},((((Bacillus_subtilis{84})Bacillus subtilis{85})Bacillus{86},((Staphylococcus_aureus{87})Staphylococcus aureus{88})Staphylococcus{89})Bacilli{90})Firmicutes{91},((((Bacteroides_fragilis{92})Bacteroides fragilis{93})Bacteroides{94})Bacteroidia{95})Bacteroidetes{96},((((Fusobacterium_nucleatum{97})Fusobacterium nucleatum{98})Fusobacterium{99})Fusobacteriia{100})Fusobacteria{101},((((((Ilumatobacter_coccineus{102})Ilumatobacter coccineus{103},(Ilumatobacter_sp_AH-269-C13{104})Ilumatobacter sp. AH_269_C13{105})Ilumatobacter{106})Acidimicrobiaceae{107})Acidimicrobiales{108})Acidimicrobiia{109},(((Mycobacterium_tuberculosis{110})Mycobacterium tuberculosis{111})Mycobacterium{112})Actinomycetes{113})Actinobacteria{114},((((Thermus_thermophilus{115})Thermus thermophilus{116})Thermus{117})Deinococci{118})Deinococcus_Thermus{119})Bacteria{120})root{121};
DISTAL_NODE	EDGE_NUM	WEIGHTED_COUNT	SEQUENCE_ABUNDANCE
Gammaproteobacteria	65	0.39341	0.00001
Candidatus_Endolissoclinum_sp	66	54.84991	0.00143
Psychrobacter_cryohalolentis	60	278.56577	0.00725
Aliivibrio	17	216.76482	0.00564
Archaea	12	5.93965	0.00015
Alteromonas_stellipolaris	30	25.87567	0.00067
Erythrobacter_aurantius	71	143.10718	0.00372
Fusobacterium_nucleatum	97	0.06204	0.00000
Chromatiales	59	30.39495	0.00079
Mycobacterium_tuberculosis	110	5.80465	0.00015
Vibrionaceae	21	120.22275	0.00313
Marinomonas_posidonica	37	491.25565	0.01278
Spiribacter_salinus	55	4141.09756	0.10771
Allochromatium_vinosum	23	18.11091	0.00047
Marinomonas	39	59.05565	0.00154
Alteromonas	32	59.61350	0.00155
Nitrosococcus_watsonii	49	301.26923	0.00784
Nitrosococcus_oceani	45	5874.38590	0.15279
Erythrobacter_litoralis	73	63.99388	0.00166
Bacteria	120	0.06204	0.00000
Palaeococcus_ferrophilus	0	116.88645	0.00304
Spiribacter	57	576.04031	0.01498
Bacilli	90	1.67896	0.00004
Ilumatobacter_coccineus	102	6.95218	0.00018
Oceanospirillaceae	43	45.21683	0.00118
Nitrosococcus_wardiae	47	8900.17328	0.23149
Bacillus_subtilis	84	3.64050	0.00009
Aliivibrio_wodanis	15	1488.55649	0.03872
Nitrosococcus	51	531.75661	0.01383
Vibrio_anguillarum	18	3780.85357	0.09834
Thalassolituus_oleivorans	40	1377.46809	0.03583
Sulfurovum_mangrovi	79	111.83799	0.00291
Spiribacter_roseus	53	2679.12850	0.06968
Actinobacteria	114	3.05859	0.00008
Erythrobacter	75	62.89759	0.00164
Marinomonas_mediterranea	35	52.34924	0.00136
Alteromonas_macleodii	26	1680.11350	0.04370
Alteromonas_mediterranea	28	2989.74928	0.07776
Pyrodictium_occultum	7	0.41621	0.00001
Aliivibrio_salmonicida	13	2112.64815	0.05495
Alphaproteobacteria	78	25.35390	0.00066
Bacteroides_fragilis	92	3.16323	0.00008
Proteobacteria	83	0.88336	0.00002
Thermus_thermophilus	115	1.16828	0.00003
Staphylococcus_aureus	87	4.18383	0.00011
