# source genome <TAB> relative abundance (sums to 1.0).
# CAMI-II marine inspired log-normal mix:
#   - top organism around 22%, then power-law dropoff to ~1%
#   - 16 distinct sources covering all major marine clades in the reference set
#   - PROC_AS9601 (held-out 'novel' Prochlorococcus high-light ecotype, sister to
#     PROC_MIT9301 at ~5% mash distance) sits at moderate abundance (~12%) so
#     the placement signal is strong but not dominant.
PROC_MED4	0.22
SAR11_HTCC1062	0.18
PROC_AS9601	0.12
SYNE_WH8102	0.10
THAUM_NITROSO	0.08
ROSE_DSS3	0.06
FLAV_POLAR_MED152	0.05
PROC_MIT9301	0.04
GAMMA_VIBRIO	0.03
SAR11_HTCC7211	0.03
PROC_NATL2A	0.02
GAMMA_ALTERO	0.02
ROSE_OCh114	0.015
FLAV_PSYCHRO	0.015
ROSE_PHAEO	0.01
SYNE_CC9311	0.01
