# short_id<TAB>taxon_query<TAB>role
# CAMI-II marine inspired set: ~30 real, named marine bacteria + archaea.
# Multiple representatives per genus to support intra-genus placement signal.
# 'holdout' rows are excluded from references and used to simulate 'novel' query reads.
#
# --- Alphaproteobacteria - Pelagibacter (SAR11) -------------------------------
SAR11_HTCC1062	Pelagibacter ubique HTCC1062	reference
SAR11_HTCC7211	Pelagibacter ubique HTCC7211	reference
SAR11_HIMB59	Pelagibacter sp. HIMB59	reference
SAR11_HIMB1321	Pelagibacter sp. HIMB1321	reference
# --- Alphaproteobacteria - Roseobacter clade ----------------------------------
ROSE_DSS3	Ruegeria pomeroyi DSS-3	reference
ROSE_OCh114	Roseobacter denitrificans OCh 114	reference
ROSE_DG874	Roseovarius nubinhibens	reference
# --- Cyanobacteria - Prochlorococcus -------------------------------------------
PROC_MED4	Prochlorococcus marinus subsp. pastoris str. CCMP1986	reference
PROC_MIT9301	Prochlorococcus marinus str. MIT 9301	reference
PROC_MIT9313	Prochlorococcus marinus str. MIT 9313	reference
PROC_NATL2A	Prochlorococcus marinus str. NATL2A	reference
PROC_AS9601	Prochlorococcus marinus str. AS9601	holdout
# --- Cyanobacteria - Synechococcus --------------------------------------------
SYNE_WH8102	Synechococcus sp. WH 8102	reference
SYNE_CC9311	Synechococcus sp. CC9311	reference
SYNE_WH7803	Synechococcus sp. WH 7803	reference
# --- Bacteroidota - Flavobacteriaceae (host of the 'novel' clade) ------------
FLAV_PSYCHRO	Flavobacterium psychrophilum JIP02/86	reference
FLAV_JOHNS	Flavobacterium johnsoniae UW101	reference
FLAV_POLAR23P	Polaribacter irgensii 23-P	reference
FLAV_POLAR_MED152	Polaribacter sp. MED152	reference
FLAV_DOKDONIA_MED134	Dokdonia sp. MED134	reference
# --- Gammaproteobacteria - copiotrophs and pathogens --------------------------
GAMMA_VIBRIO	Vibrio cholerae O1 biovar El Tor str. N16961	reference
GAMMA_ALTERO	Alteromonas macleodii ATCC 27126	reference
GAMMA_PSEUDO	Pseudoalteromonas haloplanktis TAC125	reference
GAMMA_MARINOBACTER	Marinobacter hydrocarbonoclasticus VT8	reference
# --- Thaumarchaeota - marine ammonia oxidizers --------------------------------
THAUM_NITROSO	Nitrosopumilus maritimus SCM1	reference
THAUM_NITROSOARCH	Candidatus Nitrosoarchaeum koreensis MY1	reference
# --- Outgroups (non-marine reference points) ----------------------------------
OUT_ECOLI	Escherichia coli str. K-12 substr. MG1655	reference
OUT_BSUBTILIS	Bacillus subtilis subsp. subtilis str. 168	reference
