# software: krepp	version: v0.8.2	invocation :krepp place -i data/toy-index -q data/query_mixture.fq.gz -t data/reference_tree.nwk --tabular --num-threads 4
# (((Thalassolituus_oleivorans:0.04096{0},Sulfurovum_mangrovi:0.36463{1}):0.10560{2},(((Ilumatobacter_sp_AH-269-C13:0.12736{3},Ilumatobacter_coccineus:0.18559{4}):0.18819{5},(Spiribacter_roseus:0.02756{6},(Spiribacter_salinus:0.25239{7},(Candidatus_Endolissoclinum_sp:0.14462{8},(Erythrobacter_aurantius:0.14409{9},Erythrobacter_litoralis:0.07738{10}):0.06494{11}):0.10243{12}):0.03647{13}):0.06245{14}):0.15524{15},(Bacteroides_fragilis:0.50000{16},Palaeococcus_ferrophilus:0.50000{17}):0.06083{18}):0.10569{19}):0.03098{20},((Marinomonas_mediterranea:0.11388{21},(Marinomonas_posidonica:0.12629{22},((Staphylococcus_aureus:0.10455{23},(Moorella_thermoacetica:0.25831{24},Fusobacterium_nucleatum:0.14728{25}):0.07209{26}):0.12974{27},(Bacillus_subtilis:0.14246{28},(Thermus_thermophilus:0.15808{29},(Pyrodictium_occultum:0.19841{30},Mycobacterium_tuberculosis:0.20717{31}):0.04471{32}):0.02593{33}):0.12215{34}):0.07715{35}):0.04304{36}):0.09730{37},((Alteromonas_stellipolaris:0.15275{38},((Nitrosococcus_wardiae:0.08166{39},(Nitrosococcus_watsonii:0.09813{40},Nitrosococcus_oceani:-0.00904{41}):0.11275{42}):0.10015{43},(Vibrio_anguillarum:0.08961{44},(Aliivibrio_salmonicida:0.07676{45},Aliivibrio_wodanis:0.07034{46}):0.09247{47}):0.04989{48}):0.01565{49}):0.03886{50},(Alteromonas_mediterranea:0.06015{51},(Alteromonas_macleodii:0.05276{52},(Psychrobacter_cryohalolentis:0.14239{53},Allochromatium_vinosum:0.23019{54}):0.15003{55}):0.01706{56}):0.02411{57}):0.05419{58}):0.02465{59}){60};
SEQ_ID	DISTAL_NODE	EDGE_NUM	LWR	DIST
NC_015559.1-12009	Marinomonas_posidonica	22	1.00000	0.08581
NC_015559.1-3949	Marinomonas_posidonica	22	1.00000	0.13928
NC_022664.1-43244	Spiribacter_roseus	6	0.55679	0.12989
NC_022664.1-43244	NA	14	0.44321	0.15156
NC_011312.1-6343	Aliivibrio_salmonicida	45	1.00000	0.00009
NC_013960.1-152360	Nitrosococcus_wardiae	39	1.00000	0.11037
NZ_CP186025.1-22373	Vibrio_anguillarum	44	1.00000	0.00875
NC_007484.1-37612	Nitrosococcus_oceani	41	1.00000	0.00009
NC_013960.1-34342	Nitrosococcus_wardiae	39	1.00000	0.11605
NC_013960.1-106607	Nitrosococcus_wardiae	39	0.21036	0.08742
NC_013960.1-106607	Nitrosococcus_oceani	41	0.21003	0.08853
NC_013960.1-106607	NA	49	0.07426	0.11956
NC_013960.1-106607	NA	43	0.20283	0.09303
NC_013960.1-106607	NA	42	0.18412	0.09833
NC_013960.1-106607	Nitrosococcus_watsonii	40	0.11840	0.11082
NZ_JBREXA010000002.1-12112	NA	47	0.29564	0.09366
NZ_JBREXA010000002.1-12112	Aliivibrio_wodanis	46	0.29917	0.08982
NZ_JBREXA010000002.1-12112	Aliivibrio_salmonicida	45	0.28603	0.09738
NZ_JBREXA010000002.1-12112	NA	48	0.11915	0.12629
NZ_CP186025.1-5347	Vibrio_anguillarum	44	1.00000	0.05848
NC_021291.1-32457	Spiribacter_salinus	7	1.00000	0.03217
NC_013960.1-17045	Nitrosococcus_wardiae	39	1.00000	0.10331
NZ_CP018029.1-20678	Alteromonas_mediterranea	51	1.00000	0.03072
NC_013960.1-100829	Nitrosococcus_wardiae	39	1.00000	0.04260
NC_013960.1-165828	Nitrosococcus_wardiae	39	0.70912	0.05707
NC_013960.1-165828	NA	43	0.29088	0.08701
NC_013960.1-65888	Nitrosococcus_wardiae	39	1.00000	0.05377
NZ_JBREXA010000001.1-6901	Aliivibrio_wodanis	46	1.00000	0.00873
NC_013960.1-61050	Nitrosococcus_wardiae	39	1.00000	0.09101
NC_013960.1-84452	Nitrosococcus_wardiae	39	1.00000	0.12742
NC_013960.1-134545	Nitrosococcus_wardiae	39	0.64488	0.09101
NC_013960.1-134545	NA	43	0.35512	0.11729
NZ_JBREXA010000002.1-1083	Aliivibrio_wodanis	46	1.00000	0.10979
NC_013960.1-34234	Nitrosococcus_wardiae	39	0.76805	0.06024
NC_013960.1-34234	NA	43	0.23195	0.08968
NC_022664.1-125366	Spiribacter_roseus	6	1.00000	0.10917
NC_011312.1-7361	Aliivibrio_salmonicida	45	1.00000	0.00009
NC_007484.1-42061	Nitrosococcus_oceani	41	1.00000	0.00009
NC_021291.1-14402	Spiribacter_salinus	7	1.00000	0.00009
NZ_CP186026.1-4094	Vibrio_anguillarum	44	1.00000	0.06589
NC_021291.1-35265	Spiribacter_salinus	7	1.00000	0.03163
NC_021291.1-28177	Spiribacter_salinus	7	1.00000	0.00009
NZ_CP186025.1-19865	Vibrio_anguillarum	44	1.00000	0.00009
NC_013960.1-157744	Nitrosococcus_wardiae	39	1.00000	0.05707
NC_013960.1-124927	Nitrosococcus_wardiae	39	1.00000	0.11736
NC_022664.1-22230	Spiribacter_roseus	6	0.78052	0.05269
NC_022664.1-22230	NA	14	0.21948	0.08508
NC_013960.1-1412	Nitrosococcus_wardiae	39	1.00000	0.11251
NZ_CP186025.1-31569	Vibrio_anguillarum	44	1.00000	0.00775
NC_013960.1-127378	Nitrosococcus_wardiae	39	1.00000	0.02947
NC_013960.1-158528	Nitrosococcus_wardiae	39	1.00000	0.00009
NC_013960.1-113506	Nitrosococcus_wardiae	39	0.75733	0.03515
NC_013960.1-113506	NA	43	0.24267	0.05459
NC_013960.1-6180	Nitrosococcus_wardiae	39	0.67993	0.05377
NC_013960.1-6180	NA	43	0.32007	0.07315
NZ_CP142840.1-7651	NA	56	0.50000	0.00009
NZ_CP142840.1-7651	Alteromonas_macleodii	52	0.50000	0.00009
NC_013960.1-34376	Nitrosococcus_wardiae	39	0.74483	0.07089
NC_013960.1-34376	NA	43	0.25517	0.10201
NC_013960.1-129670	Nitrosococcus_watsonii	40	1.00000	0.09512
NC_020888.1-13730	Thalassolituus_oleivorans	0	1.00000	0.03985
NZ_CP018029.1-17158	Alteromonas_mediterranea	51	1.00000	0.03553
NZ_CP186025.1-24843	Vibrio_anguillarum	44	0.67615	0.00009
NZ_CP186025.1-24843	NA	48	0.32385	0.00358
NC_007484.1-39712	Nitrosococcus_oceani	41	1.00000	0.00009
NZ_CP186025.1-9341	Vibrio_anguillarum	44	1.00000	0.00536
NC_007484.1-48513	Nitrosococcus_oceani	41	1.00000	0.00884
