# software: krepp	version: v0.8.3	invocation krepp place -i data/toy-index -q data/query_mixture.fq.gz -l data/reference_taxonomy_lineages.tsv -o results/taxplacements_tabular.tsv --tabular
# ((((((((Palaeococcus_ferrophilus{0})Palaeococcus ferrophilus{1})Palaeococcus{2})Thermococcaceae{3})Thermococcales{4})Thermococci{5})Euryarchaeota{6},((((Pyrodictium_occultum{7})Pyrodictium occultum{8})Pyrodictium{9})Thermoprotei{10})Crenarchaeota{11})Archaea{12},(((((((Aliivibrio_salmonicida{13})Aliivibrio salmonicida{14},(Aliivibrio_wodanis{15})Aliivibrio wodanis{16})Aliivibrio{17},((Vibrio_anguillarum{18})Vibrio anguillarum{19})Vibrio{20})Vibrionaceae{21})Vibrionales{22},((Allochromatium_vinosum{23})Allochromatium vinosum{24})Allochromatium{25},((((Alteromonas_macleodii{26})Alteromonas macleodii{27},(Alteromonas_mediterranea{28})Alteromonas mediterranea{29},(Alteromonas_stellipolaris{30})Alteromonas stellipolaris{31})Alteromonas{32})Alteromonadaceae{33})Alteromonadales{34},((((Marinomonas_mediterranea{35})Marinomonas mediterranea{36},(Marinomonas_posidonica{37})Marinomonas posidonica{38})Marinomonas{39},((Thalassolituus_oleivorans{40})Thalassolituus oleivorans{41})Thalassolituus{42})Oceanospirillaceae{43})Oceanospirillales{44},((((Nitrosococcus_oceani{45})Nitrosococcus oceani{46},(Nitrosococcus_wardiae{47})Nitrosococcus wardiae{48},(Nitrosococcus_watsonii{49})Nitrosococcus watsonii{50})Nitrosococcus{51})Chromatiaceae{52},(((Spiribacter_roseus{53})Spiribacter roseus{54},(Spiribacter_salinus{55})Spiribacter salinus{56})Spiribacter{57})Ectothiorhodospiraceae{58})Chromatiales{59},((((Psychrobacter_cryohalolentis{60})Psychrobacter cryohalolentis{61})Psychrobacter{62})Moraxellaceae{63})Pseudomonadales{64})Gammaproteobacteria{65},(((((Candidatus_Endolissoclinum_sp{66})Candidatus Endolissoclinum sp.{67})Candidatus Endolissoclinum{68})Rhodospirillaceae{69})Rhodospirillales{70},((((Erythrobacter_aurantius{71})Erythrobacter aurantius{72},(Erythrobacter_litoralis{73})Erythrobacter litoralis{74})Erythrobacter{75})Erythrobacteraceae{76})Sphingomonadales{77})Alphaproteobacteria{78},(((Sulfurovum_mangrovi{79})Sulfurovum mangrovi{80})Sulfurovum{81})Epsilonproteobacteria{82})Proteobacteria{83},((((Bacillus_subtilis{84})Bacillus subtilis{85})Bacillus{86},((Staphylococcus_aureus{87})Staphylococcus aureus{88})Staphylococcus{89})Bacilli{90})Firmicutes{91},((((Bacteroides_fragilis{92})Bacteroides fragilis{93})Bacteroides{94})Bacteroidia{95})Bacteroidetes{96},((((Fusobacterium_nucleatum{97})Fusobacterium nucleatum{98})Fusobacterium{99})Fusobacteriia{100})Fusobacteria{101},((((((Ilumatobacter_coccineus{102})Ilumatobacter coccineus{103},(Ilumatobacter_sp_AH-269-C13{104})Ilumatobacter sp. AH_269_C13{105})Ilumatobacter{106})Acidimicrobiaceae{107})Acidimicrobiales{108})Acidimicrobiia{109},(((Mycobacterium_tuberculosis{110})Mycobacterium tuberculosis{111})Mycobacterium{112})Actinomycetes{113})Actinobacteria{114},((((Thermus_thermophilus{115})Thermus thermophilus{116})Thermus{117})Deinococci{118})Deinococcus_Thermus{119})Bacteria{120})root{121};
SEQ_ID	DISTAL_NODE	EDGE_NUM	LWR	DIST
NC_015559.1-12009	Marinomonas_posidonica	37	1.00000	0.08579
NC_015559.1-3949	Marinomonas_posidonica	37	1.00000	0.13930
NC_022664.1-43244	Spiribacter	57	0.47172	0.14497
NC_022664.1-43244	Spiribacter_roseus	53	0.52828	0.12986
NC_011312.1-6343	Aliivibrio_salmonicida	13	1.00000	0.00001
NC_013960.1-152360	Nitrosococcus_wardiae	47	1.00000	0.11041
NZ_CP186025.1-22373	Vibrio_anguillarum	18	1.00000	0.00872
NC_007484.1-37612	Nitrosococcus_oceani	45	1.00000	0.00001
NC_013960.1-34342	Nitrosococcus_wardiae	47	1.00000	0.11606
NC_013960.1-106607	Chromatiales	59	0.08215	0.12150
NC_013960.1-106607	Nitrosococcus_oceani	45	0.26179	0.08852
NC_013960.1-106607	Nitrosococcus_watsonii	49	0.14731	0.11086
NC_013960.1-106607	Nitrosococcus	51	0.24658	0.09474
NC_013960.1-106607	Nitrosococcus_wardiae	47	0.26218	0.08739
NZ_JBREXA010000002.1-12112	Aliivibrio_wodanis	15	0.29916	0.08981
NZ_JBREXA010000002.1-12112	Aliivibrio_salmonicida	13	0.28611	0.09735
NZ_JBREXA010000002.1-12112	Vibrionaceae	21	0.11915	0.12629
NZ_JBREXA010000002.1-12112	Aliivibrio	17	0.29558	0.09369
NZ_CP186025.1-5347	Vibrio_anguillarum	18	1.00000	0.05844
NC_021291.1-32457	Spiribacter_salinus	55	1.00000	0.03215
NC_013960.1-17045	Nitrosococcus_wardiae	47	1.00000	0.10332
NZ_CP018029.1-20678	Alteromonas_mediterranea	28	1.00000	0.03073
NC_013960.1-100829	Nitrosococcus_wardiae	47	1.00000	0.04261
NC_013960.1-165828	Nitrosococcus_wardiae	47	1.00000	0.05706
NC_013960.1-65888	Nitrosococcus_wardiae	47	1.00000	0.05375
NZ_JBREXA010000001.1-6901	Aliivibrio_wodanis	15	1.00000	0.00875
NC_013960.1-61050	Nitrosococcus_wardiae	47	1.00000	0.09099
NC_013960.1-84452	Nitrosococcus_wardiae	47	1.00000	0.12741
NC_013960.1-134545	Nitrosococcus_wardiae	47	1.00000	0.09099
NZ_JBREXA010000002.1-1083	Aliivibrio_wodanis	15	1.00000	0.10983
NC_013960.1-34234	Nitrosococcus_wardiae	47	1.00000	0.06025
NC_022664.1-125366	Spiribacter_roseus	53	1.00000	0.10913
NC_011312.1-7361	Aliivibrio_salmonicida	13	1.00000	0.00001
NC_007484.1-42061	Nitrosococcus_oceani	45	1.00000	0.00001
NC_021291.1-14402	Spiribacter_salinus	55	1.00000	0.00001
NZ_CP186026.1-4094	Vibrio_anguillarum	18	1.00000	0.06591
NC_021291.1-35265	Spiribacter_salinus	55	1.00000	0.03166
NC_021291.1-28177	Spiribacter	57	0.50000	0.00001
NC_021291.1-28177	Spiribacter_salinus	55	0.50000	0.00001
NZ_CP186025.1-19865	Vibrio_anguillarum	18	1.00000	0.00001
NC_013960.1-157744	Nitrosococcus_wardiae	47	1.00000	0.05706
NC_013960.1-124927	Nitrosococcus_wardiae	47	1.00000	0.11738
NC_022664.1-22230	Spiribacter	57	0.21974	0.08506
NC_022664.1-22230	Spiribacter_roseus	53	0.78026	0.05267
NC_013960.1-1412	Nitrosococcus_wardiae	47	1.00000	0.11254
NZ_CP186025.1-31569	Vibrio_anguillarum	18	1.00000	0.00777
NC_013960.1-127378	Nitrosococcus_wardiae	47	1.00000	0.02944
