# software: krepp	version: v0.8.3	invocation :/Users/asapci/Desktop/krepp/software-repository/krepp dist -i data/toy-index -q data/query_mixture.fq.gz --num-threads 4 --filter -o results/distances_filtered.tsv
SEQ_ID	REFERENCE_NAME	DIST
NC_009663.1-23622	NA	NaN
NC_015559.1-12009	Marinomonas_posidonica	0.08579
NC_019566.1-5659	NA	NaN
NC_015559.1-3949	Marinomonas_posidonica	0.13930
NC_008818.1-34370	NA	NaN
NC_015387.1-11855	NA	NaN
NC_015387.1-11627	NA	NaN
NC_022664.1-97373	Spiribacter_roseus	0.20525
NC_022664.1-5428	NA	NaN
NC_022664.1-43244	Spiribacter_roseus	0.12986
NC_022664.1-43244	Spiribacter_salinus	0.17241
NC_011312.1-6343	Aliivibrio_salmonicida	0.00001
NC_019566.1-9235	NA	NaN
NZ_CP006019.1-50202	NA	NaN
NC_013960.1-152360	Nitrosococcus_wardiae	0.11041
NC_009663.1-6302	NA	NaN
NZ_CP186025.1-22373	Vibrio_anguillarum	0.00872
NC_007484.1-37612	Nitrosococcus_oceani	0.00001
NC_013960.1-34342	Nitrosococcus_wardiae	0.11607
NC_008818.1-42619	NA	NaN
NC_021291.1-872	Spiribacter_roseus	0.20525
NC_022664.1-55555	NA	NaN
NZ_CP006019.1-51224	NA	NaN
NZ_CP018029.1-35351	NA	NaN
NC_013960.1-170421	NA	NaN
NC_013960.1-106607	Nitrosococcus_watsonii	0.11086
NC_013960.1-106607	Nitrosococcus_wardiae	0.08739
NC_013960.1-106607	Nitrosococcus_oceani	0.08851
NC_008818.1-97495	NA	NaN
NZ_JBREXA010000002.1-12112	Aliivibrio_wodanis	0.08980
NZ_JBREXA010000002.1-12112	Aliivibrio_salmonicida	0.09735
NC_009663.1-41894	NA	NaN
NZ_CP186025.1-5347	Vibrio_anguillarum	0.05844
NC_009663.1-10776	NA	NaN
NC_021291.1-32457	Spiribacter_salinus	0.03215
NC_013960.1-17045	Nitrosococcus_wardiae	0.10332
NC_008818.1-103369	NA	NaN
NC_008818.1-105196	NA	NaN
NZ_CP018029.1-20678	Alteromonas_mediterranea	0.03074
NC_019940.1-12665	NA	NaN
NC_013960.1-100829	Nitrosococcus_wardiae	0.04261
NC_013960.1-165828	Nitrosococcus_wardiae	0.05705
NC_013960.1-65888	Nitrosococcus_wardiae	0.05375
NZ_JBREXA010000001.1-6901	Aliivibrio_wodanis	0.00874
NC_013960.1-61050	Nitrosococcus_wardiae	0.09099
NC_013960.1-51567	Nitrosococcus_wardiae	0.13849
NC_019940.1-10186	NA	NaN
NC_009663.1-42510	Sulfurovum_mangrovi	0.20601
NZ_CP006019.1-17367	Palaeococcus_ferrophilus	0.17230
NZ_CP006019.1-16303	NA	NaN
NZ_CP017057.1-9970	Ilumatobacter_sp	0.20474
NC_013960.1-84452	Nitrosococcus_wardiae	0.12741
NC_013960.1-134545	Nitrosococcus_wardiae	0.09099
NZ_JBREXA010000002.1-1083	Aliivibrio_wodanis	0.10983
NC_013960.1-139365	NA	NaN
NC_013960.1-34234	Nitrosococcus_wardiae	0.06025
NC_019566.1-2842	NA	NaN
NC_022664.1-97669	NA	NaN
NC_013960.1-170227	NA	NaN
NC_009663.1-16348	NA	NaN
NC_022664.1-125366	Spiribacter_roseus	0.10914
NZ_CP006019.1-2669	NA	NaN
NC_013960.1-56385	NA	NaN
NC_022664.1-10077	Spiribacter_salinus	0.20588
NC_011312.1-7361	Aliivibrio_salmonicida	0.00001
NC_022664.1-68246	NA	NaN
NC_022664.1-57071	NA	NaN
NC_022664.1-101817	NA	NaN
NC_008818.1-43048	NA	NaN
NC_007484.1-42061	Nitrosococcus_oceani	0.00001
NC_022664.1-82762	Spiribacter_salinus	0.17214
NC_021291.1-14402	Spiribacter_salinus	0.00001
NZ_CP186026.1-4094	Vibrio_anguillarum	0.06591
NC_021291.1-35265	Spiribacter_salinus	0.03166
NC_015559.1-12681	Marinomonas_posidonica	0.15626
NC_015559.1-12681	Vibrio_anguillarum	0.18883
NC_015559.1-12681	Marinomonas_mediterranea	0.13899
NC_008818.1-69945	NA	NaN
NZ_CP017057.1-11960	NA	NaN
NC_021291.1-4175	NA	NaN
NC_019940.1-9919	NA	NaN
NC_019566.1-16963	NA	NaN
NC_022664.1-127253	NA	NaN
NC_019566.1-34276	NA	NaN
NC_021291.1-28177	Spiribacter_salinus	0.00001
NC_019940.1-14541	NA	NaN
NC_008818.1-31631	NA	NaN
NC_008818.1-68329	NA	NaN
NZ_CP186025.1-19865	Vibrio_anguillarum	0.00001
NC_019566.1-4447	NA	NaN
NC_022664.1-65210	NA	NaN
NC_009663.1-4842	NA	NaN
NC_009663.1-33616	NA	NaN
NC_013960.1-157744	Nitrosococcus_wardiae	0.05705
NC_013960.1-124927	Nitrosococcus_wardiae	0.11738
NZ_CP006019.1-56116	NA	NaN
NC_022664.1-122944	NA	NaN
NC_019566.1-25930	NA	NaN
NC_008818.1-69191	NA	NaN
NC_019566.1-14888	NA	NaN
NC_008818.1-23310	NA	NaN
NC_008818.1-50921	NA	NaN
NC_022664.1-22230	Spiribacter_roseus	0.05267
NC_021291.1-37654	Spiribacter_roseus	0.18798
NC_021291.1-37654	Marinomonas_mediterranea	0.20601
NC_013960.1-1412	Nitrosococcus_wardiae	0.11254
NZ_CP186025.1-31569	Vibrio_anguillarum	0.00776
NC_013960.1-127378	Nitrosococcus_wardiae	0.02944
NC_008818.1-50553	NA	NaN
NC_013960.1-158528	Nitrosococcus_wardiae	0.00001
